"","PMID","design","host","doi","title"
"31",29554907,"time series / longitudinal observational","Homo sapiens","10.1186/s12941-018-0264-y","Prenatal and postnatal antibiotic exposure influences the gut microbiota of preterm infants in neonatal intensive care units"
"32",31873965,"time series / longitudinal observational","Homo sapiens","10.1002/cncr.32641","Gut dysbiosis during antileukemia chemotherapy versus allogeneic hematopoietic cell transplantation"
"33",27836847,"time series / longitudinal observational","Homo sapiens","10.1128/AEM.02149-16","Human Oral Buccal Microbiomes Are Associated with Farmworker Status and Azinphos-Methyl Agricultural Pesticide Exposure"
"34",30633889,"prospective cohort","Homo sapiens","10.1016/j.trsl.2018.12.005","Establishment of vaginal microbiota composition in early pregnancy and its association with subsequent preterm prelabor rupture of the fetal membranes"
"35",30524957,"prospective cohort","Homo sapiens","10.3389/fonc.2018.00520","Dysbiosis of the Salivary Microbiome Is Associated With Non-smoking Female Lung Cancer and Correlated With Immunocytochemistry Markers"
"36",23153041,"prospective cohort","Homo sapiens","10.1186/gb-2012-13-11-r101","Microbiome dynamics of human epidermis following skin barrier disruption"
"37",28636668,"prospective cohort","Homo sapiens","10.1371/journal.pone.0179739","Microbiota in anorexia nervosa: The triangle between bacterial species, metabolites and psychological tests"
"38",30959164,"time series / longitudinal observational","Homo sapiens","10.1016/j.bbmt.2019.04.007","Gastrointestinal Microbiome and Mycobiome Changes during Autologous Transplantation for Multiple Myeloma: Results of a Prospective Pilot Study"
"39",34173452,"prospective cohort","Homo sapiens","10.1016/j.medmic.2020.100023","Analysis of the intestinal microbiota in COVID-19 patients and its correlation with the inflammatory factor IL-18"
"40",26416813,"prospective cohort","Homo sapiens","10.1136/gutjnl-2015-309957","High-level adherence to a Mediterranean diet beneficially impacts the gut microbiota and associated metabolome"
"41",22948872,"prospective cohort","Homo sapiens","10.1128/AAC.00789-12","High-throughput sequencing reveals the incomplete, short-term recovery of infant gut microbiota following parenteral antibiotic treatment with ampicillin and gentamicin"
"42",26147207,"prospective cohort","Homo sapiens","10.1111/apt.13302","Chemotherapy-driven dysbiosis in the intestinal microbiome"
"43",31065565,"time series / longitudinal observational","Homo sapiens","10.1093/ofid/ofz173","Fecal Microbiome, Metabolites, and Stem Cell Transplant Outcomes: A Single-Center Pilot Study"
"44",27503374,"prospective cohort","Homo sapiens","10.1186/s13073-016-0330-z","The early infant gut microbiome varies in association with a maternal high-fat diet"
"45",28245856,"time series / longitudinal observational","Homo sapiens","10.1186/s13073-017-0409-1","Characterization of oral and gut microbiome temporal variability in hospitalized cancer patients"
"46",31729407,"time series / longitudinal observational","Homo sapiens","10.1038/s41598-019-53073-w","Microbial changes in relation to oral mucositis in autologous hematopoietic stem cell transplantation recipients"
"47",22153774,"prospective cohort","Homo sapiens","10.1016/j.jaci.2011.10.025","Low diversity of the gut microbiota in infants with atopic eczema"
"48",25893458,"time series / longitudinal observational","Homo sapiens","10.1038/bmt.2015.16","Gut microbiota trajectory in pediatric patients undergoing hematopoietic SCT"
"49",32093640,"time series / longitudinal observational","Homo sapiens","10.1186/s12885-020-6654-5","Temporal changes in gut microbiota profile in children with acute lymphoblastic leukemia prior to commencement-, during-, and post-cessation of chemotherapy"
"50",31489128,"prospective cohort","Homo sapiens","10.1080/20002297.2019.1650597","Oral microbiome and obesity in a large study of low-income and African-American populations"
"51",28903469,"prospective cohort","Homo sapiens","10.1093/femsec/fix099","Signatures in the gut microbiota of Japanese infants who developed food allergies in early childhood"
"52",29738477,"time series / longitudinal observational","Homo sapiens","10.3390/nu10050576","Microbiome Responses to an Uncontrolled Short-Term Diet Intervention in the Frame of the Citizen Science Project"
"53",31696774,"prospective cohort","Homo sapiens","10.1080/19490976.2019.1681861","Lower gut microbiome diversity and higher abundance of proinflammatory genus <i>Collinsella</i> are associated with biopsy-proven nonalcoholic steatohepatitis"
"54",28860468,"prospective cohort","Homo sapiens","10.1038/s41598-017-09842-6","Characterization of cervico-vaginal microbiota in women developing persistent high-risk Human Papillomavirus infection"
"55",10202341,"prospective cohort","Homo sapiens","10.1046/j.1365-2222.1999.00560.x","The intestinal microflora in allergic Estonian and Swedish 2-year-old children"
"56",29097494,"time series / longitudinal observational","Homo sapiens","10.1126/science.aan3706","Gut microbiome influences efficacy of PD-1-based immunotherapy against epithelial tumors"
"57",28789705,"time series / longitudinal observational","Homo sapiens","10.1186/s40168-017-0313-3","Impact of intrapartum antimicrobial prophylaxis upon the intestinal microbiota and the prevalence of antibiotic resistance genes in vaginally delivered full-term neonates"
"58",27001291,"time series / longitudinal observational","Homo sapiens","10.1038/srep23129","Human gut colonisation may be initiated in utero by distinct microbial communities in the placenta and amniotic fluid"
"59",32115690,"time series / longitudinal observational","Homo sapiens","10.1002/ijc.32942","Gastrointestinal toxicity during induction treatment for childhood acute lymphoblastic leukemia: The impact of the gut microbiota"
"60",28808302,"prospective cohort","Homo sapiens","10.1038/s41598-017-08530-9","Effects of One-Week Empirical Antibiotic Therapy on the Early Development of Gut Microbiota and Metabolites in Preterm Infants"
"61",29563617,"time series / longitudinal observational","Homo sapiens","10.1038/s41598-018-23389-0","Cervical microbiome is altered in cervical intraepithelial neoplasia after loop electrosurgical excision procedure in china"
"62",30919073,"time series / longitudinal observational","Homo sapiens","10.1007/s00277-019-03599-w","The oral microbiome of patients undergoing treatment for severe aplastic anemia: a pilot study"
"63",29740427,"prospective cohort","Homo sapiens","10.3389/fimmu.2018.00669","Intestinal Microbiota at Engraftment Influence Acute Graft-Versus-Host Disease <i>via</i> the Treg/Th17 Balance in Allo-HSCT Recipients"
"64",30988420,"time series / longitudinal observational","Homo sapiens","10.1038/s41598-019-42652-6","Dysbiosis patterns during re-induction/salvage versus induction chemotherapy for acute leukemia"
"65",30656437,"time series / longitudinal observational","Rattus norvegicus","10.1186/s11671-018-2834-5","Exposure to Titanium Dioxide Nanoparticles During Pregnancy Changed Maternal Gut Microbiota and Increased Blood Glucose of Rat"
"66",30157953,"prospective cohort","Homo sapiens","10.1186/s40168-018-0531-3","Influence of cigarette smoking on the human duodenal mucosa-associated microbiota"
"67",32295867,"time series / longitudinal observational","Homo sapiens","10.1128/mSphere.00048-20","Observational Cohort Study of Oral Mycobiome and Interkingdom Interactions over the Course of Induction Therapy for Leukemia"
"68",32733243,"prospective cohort","Homo sapiens","10.3389/fphar.2020.01000","Patients With Reflux Esophagitis Possess a Possible Different Oral Microbiota Compared With Healthy Controls"
"69",34423593,"prospective cohort","Homo sapiens","10.1002/advs.202102785","Characterization of the Human Oropharyngeal Microbiomes in SARS-CoV-2 Infection and Recovery Patients"
"70",31951695,"prospective cohort","Homo sapiens","10.21101/cejph.a5393","Microbiome and diversity indices during blood stem cells transplantation - new perspectives?"
"71",30542916,"time series / longitudinal observational","Homo sapiens","10.1007/s00284-018-1610-1","Subgingival Microbial Changes During the First 3 Months of Fixed Appliance Treatment in Female Adult Patients"
"72",29518185,"time series / longitudinal observational","Homo sapiens","10.1093/cid/ciy153","Gut Microbiome Composition Predicts Infection Risk During Chemotherapy in Children With Acute Lymphoblastic Leukemia"
"73",24819377,"time series / longitudinal observational","Homo sapiens","10.1038/pr.2014.69","The impact of postnatal antibiotics on the preterm intestinal microbiome"
"74",29874201,"prospective cohort","Homo sapiens","10.1097/QAI.0000000000001693","Effect of Lactobacillus rhamnosus GG Supplementation on Intestinal Inflammation Assessed by PET/MRI Scans and Gut Microbiota Composition in HIV-Infected Individuals"
"75",28714953,"time series / longitudinal observational","Homo sapiens","10.1038/nn.4606","Gut microbiota is critical for the induction of chemotherapy-induced pain"
"76",32690600,"prospective cohort","Homo sapiens","10.1136/gutjnl-2020-322294","Depicting SARS-CoV-2 faecal viral activity in association with gut microbiota composition in patients with COVID-19"
"77",29321519,"prospective cohort","Homo sapiens","10.1038/s41467-017-02573-2","Maturation of the gut microbiome and risk of asthma in childhood"
"78",28512451,"time series / longitudinal observational","Homo sapiens","10.3389/fmicb.2017.00738","Colonization and Succession within the Human Gut Microbiome by Archaea, Bacteria, and Microeukaryotes during the First Year of Life"
"79",29167295,"prospective cohort","Homo sapiens","10.1183/13993003.00280-2017","Sex-specific impact of asthma during pregnancy on infant gut microbiota"
"80",30866773,"time series / longitudinal observational","Homo sapiens","10.1080/22221751.2018.1563458","Differential effects of depot medroxyprogesterone acetate administration on vaginal microbiome in Hispanic White and Black women"
"81",28467925,"prospective cohort","Homo sapiens","10.1016/j.cmet.2017.04.001","Gut Microbiome-Based Metagenomic Signature for Non-invasive Detection of Advanced Fibrosis in Human Nonalcoholic Fatty Liver Disease"
"82",32332850,"time series / longitudinal observational","Homo sapiens","10.1038/s41467-020-15856-y","The vaginal microbiota associates with the regression of untreated cervical intraepithelial neoplasia 2 lesions"
"83",30804895,"time series / longitudinal observational","Homo sapiens","10.3389/fmicb.2019.00054","High-Level PM2.5/PM10 Exposure Is Associated With Alterations in the Human Pharyngeal Microbiota Composition"
"84",32380969,"time series / longitudinal observational","Homo sapiens","10.1186/s12887-020-02067-z","Dynamics of the bacterial gut microbiota in preterm and term infants after intravenous amoxicillin/ceftazidime treatment"
"85",30395655,"time series / longitudinal observational","Homo sapiens","10.1371/journal.pone.0207016","HPV infection and bacterial microbiota in breast milk and infant oral mucosa"
"86",30778155,"prospective cohort","Homo sapiens","10.1038/s41598-019-39700-6","The Endobiota Study: Comparison of Vaginal, Cervical and Gut Microbiota Between Women with Stage 3/4 Endometriosis and Healthy Controls"
"87",27027301,"time series / longitudinal observational","Homo sapiens","10.1159/000443361","The Role of Antibiotics in Gut Microbiota Modulation: The Eubiotic Effects of Rifaximin"
"88",34302684,"prospective cohort","Homo sapiens","10.1007/s40618-021-01595-4","16S rRNA gene amplicon sequencing of gut microbiota in gestational diabetes mellitus and their correlation with disease risk factors"
"89",32150591,"prospective cohort","Homo sapiens","10.1371/journal.ppat.1008348","Disrupted tongue microbiota and detection of nonindigenous bacteria on the day of allogeneic hematopoietic stem cell transplantation"
"90",34200249,"time series / longitudinal observational","Homo sapiens","10.3390/microorganisms9061237","Reversion of Gut Microbiota during the Recovery Phase in Patients with Asymptomatic or Mild COVID-19: Longitudinal Study"
"91",25444008,"time series / longitudinal observational","Homo sapiens","10.1016/j.jpeds.2014.09.041","Intestinal microbiota development in preterm neonates and effect of perinatal antibiotics"
"92",28632934,"prospective cohort","Homo sapiens","10.1111/all.13232","A prospective microbiome-wide association study of food sensitization and food allergy in early childhood"
"93",27292825,"time series / longitudinal observational","Homo sapiens","10.1016/j.jaci.2016.03.041","Early-life gut microbiome composition and milk allergy resolution"
"94",29885665,"prospective cohort","Homo sapiens","10.1186/s40168-018-0487-3","Bacterial biogeography of adult airways in atopic asthma"
"95",31226994,"prospective cohort","Homo sapiens","10.1186/s12941-019-0318-9","Association of prenatal antibiotics with measures of infant adiposity and the gut microbiome"
